parcours,NBR_CRD_ELP,ECTS,Semestre,COD_ELP1,LIC_ELP1,LIB,remarques,HYBRIDE,LIC_NEL1,TEM_SUS_ELP1,NB_HEURE,NB_GROUPE,CM,TD,M1MGID,M1MCRE,M1MNET,M1MTRN,M1MMCP,M1DTDM,M1MACE,M2MGID,M2MCRE,M2MNET,M2MTRN,M2MMCP,M2MACE,M2DTDM,M1Nanterre,M2Nanterre,M1ERGO,M2ERGO,M1Info,M2CPI,M1Droit,M2Droit,SoSkilled,M1Aegean,M1LasPalmas,M2Aegean,M2LasPalmas,MIP
M2MGID,12,,,DMA4ESB4,Stage & conduite prjt pro,Stage et conduite de projets professionnels,,,EC,N,15,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,15,,,DMA4ESC1,Stage  (5-6 mois),,,,EC,N,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,,,,DMA4ESC2,Stage (4-6 mois),,,,EC,N,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MTRN,16,,,DMA4ESE1,Stage 3-6 mois,,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MMCP,3,,,DME1ED01,Hist & théorie patrimoine,Histoire et théorie du patrimoine,,,EC,N,12,1,100,0,,,,,,,,,,,,,,,12,,,,,,,,,,,,,
M1Nanterre,3,,,DME1ED01,Hist & théorie patrimoine,Histoire et théorie du patrimoine,,,EC,N,12,1,100,0,,,,,12,,,,,,,,,,,,,,,,,,,,,,,
M1Nanterre,3,,,DME1ED02,Hist ou hist des arts,Histoire ou histoire des arts,,,EC,N,24,1,100,0,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
M1MMCP,2,,,DME1ED03,Théo médiation culturelle,Théorie de la médiation culturelle,,,EC,N,12,1,100,0,,,,,,,,,,,,,,,12,,,,,,,,,,,,,
M1MMCP,2,,,DME1ED04,Notions fonda. muséologie,Notions fondamentales de muséologie,,,EC,N,12,1,100,0,,,,,,,,,,,,,,,12,,,,,,,,,,,,,
M1Nanterre,2,,,DME1ED05,Médiation culturelle.....,Médiation culturelle pour publics empêchés/pour spectacle vivant ,,,EC,N,24,1,100,0,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
M1Nanterre,2,,,DME1ED06,Drt propriété art & litt.,Droit de la propriété artistique et littéraire,,,EC,N,12,1,100,0,,,,,12,,,,,,,,,,,,,,,,,,,,,,,
M1Nanterre,2,,,DME1ED07,Droit du patrimoine,Droit du patrimoine,,,EC,N,12,1,100,0,,,,,12,,,,,,,,,,,,,,,,,,,,,,,
M1Nanterre,2,,,DME1ED08,Drt du patrimoine inter..,Droit du patrimoine international,,,EC,N,12,1,100,0,,,,,12,,,,,,,,,,,,,,,,,,,,,,,
M1MMCP,2,,,DME1ED09,Informatiques et réseaux,Informatiques et réseaux,,,EC,N,24,1,0,100,,,,,,,,,,,,,,,24,,,,,,,,,,,,,
M1MMCP,2,,,DME1ED10,Concept° sites web & PAO,Conception de sites web et PAO,,,EC,N,24,1,0,100,,,,,,,,,,,,,,,24,,,,,,,,,,,,,
M1MMCP,5,,,DME1ES11,Stage,Stage ,,,EC,N,6,1,0,100,,,,,,,,,,,,,,,6,,,,,,,,,,,,,
